RecordId,DateTime,Site,ButterflyCount,Lat,Lon,WalkStage,Weekday
1,2017-01-11 13:42:00, Argyle Square,0,-37.8023,144.9664,1_1_1,Wednesday
2,2017-01-11 13:42:00, Argyle Square,0,-37.8023,144.9664,2_1_1,Wednesday
3,2017-01-11 13:42:00, Argyle Square,0,-37.8023,144.9664,3_1_1,Wednesday
4,2017-01-11 13:42:00, Argyle Square,0,-37.8023,144.9664,4_1_1,Wednesday
5,2017-01-11 14:28:00, Argyle Square,0,-37.8023,144.9665,1_1_1,Wednesday
6,2017-01-11 14:28:00, Argyle Square,0,-37.8023,144.9665,2_1_1,Wednesday
7,2017-01-11 14:28:00, Argyle Square,0,-37.8023,144.9665,3_1_1,Wednesday
8,2017-01-11 14:28:00, Argyle Square,0,-37.8023,144.9665,4_1_1,Wednesday
9,2017-01-11 15:22:00, Argyle Square,0,-37.8022,144.9664,1_1_1,Wednesday
10,2017-01-11 15:22:00, Argyle Square,1,-37.8022,144.9664,2_1_1,Wednesday
11,2017-01-11 15:22:00, Argyle Square,1,-37.8022,144.9664,3_1_1,Wednesday
12,2017-01-11 15:22:00, Argyle Square,0,-37.8022,144.9664,4_1_1,Wednesday
13,2017-01-11 15:34:00, Argyle Square,0,-37.8023,144.9665,1_1_1,Wednesday
14,2017-01-11 15:34:00, Argyle Square,0,-37.8023,144.9665,2_1_1,Wednesday
15,2017-01-11 15:34:00, Argyle Square,0,-37.8023,144.9665,3_1_1,Wednesday
16,2017-01-11 15:34:00, Argyle Square,0,-37.8023,144.9665,4_1_1,Wednesday
17,2017-01-11 15:49:00, Argyle Square,0,-37.8023,144.9664,1_1_1,Wednesday
18,2017-01-11 15:49:00, Argyle Square,0,-37.8023,144.9664,2_1_1,Wednesday
19,2017-01-11 15:49:00, Argyle Square,0,-37.8023,144.9664,3_1_1,Wednesday
20,2017-01-11 15:49:00, Argyle Square,0,-37.8023,144.9664,4_1_1,Wednesday
21,2017-02-11 09:09:00, Argyle Square,0,-37.8023,144.9664,1_1_1,Saturday
22,2017-02-11 09:09:00, Argyle Square,0,-37.8023,144.9664,2_1_1,Saturday
23,2017-02-11 09:09:00, Argyle Square,0,-37.8023,144.9664,3_1_1,Saturday
24,2017-02-11 09:09:00, Argyle Square,0,-37.8023,144.9664,4_1_1,Saturday
25,2017-02-11 09:14:00, Argyle Square,0,-37.8023,144.9664,1_1_1,Saturday
26,2017-02-11 09:14:00, Argyle Square,0,-37.8023,144.9664,2_1_1,Saturday
27,2017-02-11 09:14:00, Argyle Square,0,-37.8023,144.9664,3_1_1,Saturday
28,2017-02-11 09:14:00, Argyle Square,0,-37.8023,144.9664,4_1_1,Saturday
29,2017-02-11 09:55:00, Argyle Square,0,-37.8023,144.9664,1_1_1,Saturday
30,2017-02-11 09:55:00, Argyle Square,0,-37.8023,144.9664,2_1_1,Saturday
31,2017-02-11 09:55:00, Argyle Square,0,-37.8023,144.9664,3_1_1,Saturday
32,2017-02-11 09:55:00, Argyle Square,0,-37.8023,144.9664,4_1_1,Saturday
33,2017-02-11 09:59:00, Argyle Square,0,-37.8023,144.9664,1_1_1,Saturday
34,2017-02-11 09:59:00, Argyle Square,0,-37.8023,144.9664,2_1_1,Saturday
35,2017-02-11 09:59:00, Argyle Square,0,-37.8023,144.9664,3_1_1,Saturday
36,2017-02-11 09:59:00, Argyle Square,0,-37.8023,144.9664,4_1_1,Saturday
37,2017-02-11 10:15:00, Argyle Square,0,-37.8023,144.9664,1_1_1,Saturday
38,2017-02-11 10:15:00, Argyle Square,0,-37.8023,144.9664,2_1_1,Saturday
39,2017-02-11 10:15:00, Argyle Square,0,-37.8023,144.9664,3_1_1,Saturday
40,2017-02-11 10:15:00, Argyle Square,0,-37.8023,144.9664,4_1_1,Saturday
41,2017-02-11 10:30:00, Argyle Square,0,-37.8023,144.9665,1_1_1,Saturday
42,2017-02-11 10:30:00, Argyle Square,0,-37.8023,144.9665,2_1_1,Saturday
43,2017-02-11 10:30:00, Argyle Square,0,-37.8023,144.9665,3_1_1,Saturday
44,2017-02-11 10:30:00, Argyle Square,0,-37.8023,144.9665,4_1_1,Saturday
45,2017-02-11 10:44:00, Argyle Square,0,-37.8022,144.9663,1_1_1,Saturday
46,2017-02-11 10:44:00, Argyle Square,0,-37.8022,144.9663,2_1_1,Saturday
47,2017-02-11 10:44:00, Argyle Square,0,-37.8022,144.9663,3_1_1,Saturday
48,2017-02-11 10:44:00, Argyle Square,0,-37.8022,144.9663,4_1_1,Saturday
49,2017-02-11 12:20:00, Argyle Square,0,-37.8026,144.9664,1_1_1,Saturday
50,2017-02-11 12:20:00, Argyle Square,0,-37.8026,144.9664,2_1_1,Saturday
51,2017-02-11 12:20:00, Argyle Square,0,-37.8026,144.9664,3_1_1,Saturday
52,2017-02-11 12:20:00, Argyle Square,0,-37.8026,144.9664,4_1_1,Saturday
53,2017-01-12 16:34:00, Argyle Square,0,-37.8022,144.9665,1_1_1,Thursday
54,2017-01-12 16:34:00, Argyle Square,0,-37.8022,144.9665,2_1_1,Thursday
55,2017-01-12 16:34:00, Argyle Square,0,-37.8022,144.9665,3_1_1,Thursday
56,2017-01-12 16:34:00, Argyle Square,0,-37.8022,144.9665,4_1_1,Thursday
57,2017-01-12 16:53:00, Argyle Square,0,-37.8021,144.9663,1_1_1,Thursday
58,2017-01-12 16:53:00, Argyle Square,0,-37.8021,144.9663,2_1_1,Thursday
59,2017-01-12 16:53:00, Argyle Square,0,-37.8021,144.9663,3_1_1,Thursday
60,2017-01-12 16:53:00, Argyle Square,0,-37.8021,144.9663,4_1_1,Thursday
